code,name,market,industry,listed
049800,우진플라임,KOSPI,특수 목적용 기계 제조업,2006-05-24
035510,신세계I&C,KOSPI,컴퓨터 프로그래밍  시스템 통합 및 관리업,2006-05-18
088790,진도,KOSPI,기타 전문 도매업,2006-03-28
088980,맥쿼리인프라,KOSPI,신탁업 및 집합투자업,2006-03-15
023530,롯데쇼핑,KOSPI,종합 소매업,2006-02-09
086280,현대글로비스,KOSPI,기타 운송관련 서비스업,2005-12-26
084870,티비에이치글로벌,KOSPI,봉제의복 제조업,2005-12-19
086790,하나금융지주,KOSPI,기타 금융업,2005-12-12
001560,제일연마,KOSPI,기타 비금속 광물제품 제조업,2005-12-09
079430,현대리바트,KOSPI,가구 제조업,2005-11-22
084010,대한제강,KOSPI,1차 철강 제조업,2005-10-31
075180,새론오토모티브,KOSPI,자동차 신품 부품 제조업,2005-10-21
083420,그린케미칼,KOSPI,기타 화학제품 제조업,2005-10-20
084690,대상홀딩스,KOSPI,기타 금융업,2005-08-17
071950,코아스,KOSPI,가구 제조업,2005-08-04
084680,이월드,KOSPI,귀금속 및 장신용품 제조업,2005-07-26
084670,동양고속,KOSPI,육상 여객 운송업,2005-07-25
042700,한미반도체,KOSPI,특수 목적용 기계 제조업,2005-07-22
004890,동일산업,KOSPI,1차 철강 제조업,2005-06-30
010960,삼호개발,KOSPI,기반조성 및 시설물 축조관련 전문공사업,2005-05-12
073240,금호타이어,KOSPI,고무제품 제조업,2005-02-17
079160,CJ CGV,KOSPI,영화  비디오물  방송프로그램 제작 및 배급업,2004-12-24
081000,일진다이아,KOSPI,기타 화학제품 제조업,2004-12-22
014830,유니드,KOSPI,기초 화학물질 제조업,2004-12-03
041650,상신브레이크,KOSPI,자동차 신품 부품 제조업,2004-10-27
023810,인팩,KOSPI,자동차 신품 부품 제조업,2004-09-21
078930,GS,KOSPI,기타 금융업,2004-08-05
077500,유니퀘스트,KOSPI,기계장비 및 관련 물품 도매업,2004-08-05
058730,다스코,KOSPI,구조용 금속제품  탱크 및 증기발생기 제조업,2004-08-02
034220,LG디스플레이,KOSPI,전자부품 제조업,2004-07-23
078000,텔코웨어,KOSPI,자료처리  호스팅  포털 및 기타 인터넷 정보매개 서비스업,2004-07-20
077970,STX엔진,KOSPI,일반 목적용 기계 제조업,2004-05-10
034310,NICE,KOSPI,회사 본부 및 경영 컨설팅 서비스업,2004-02-04
019680,대교,KOSPI,초등 교육기관,2004-02-03
024110,기업은행,KOSPI,은행 및 저축기관,2003-12-24
074610,이엔플러스,KOSPI,일반 목적용 기계 제조업,2003-12-23
025750,한솔홈데코,KOSPI,제재 및 목재 가공업,2003-11-04
007660,이수페타시스,KOSPI,전자부품 제조업,2003-10-07
035250,강원랜드,KOSPI,유원지 및 기타 오락관련 서비스업,2003-09-04
037270,YG PLUS,KOSPI,자료처리  호스팅  포털 및 기타 인터넷 정보매개 서비스업,2003-08-01
072710,농심홀딩스,KOSPI,기타 금융업,2003-07-30
071050,한국금융지주,KOSPI,기타 금융업,2003-07-21
072130,유엔젤,KOSPI,자료처리  호스팅  포털 및 기타 인터넷 정보매개 서비스업,2003-07-01
034120,SBS,KOSPI,텔레비전 방송업,2003-06-25
036570,NC,KOSPI,소프트웨어 개발 및 공급업,2003-05-22
071090,하이스틸,KOSPI,1차 철강 제조업,2003-02-17
069730,DSR제강,KOSPI,1차 철강 제조업,2003-01-28
006890,태경케미컬,KOSPI,기초 화학물질 제조업,2003-01-28
011500,한농화성,KOSPI,기타 화학제품 제조업,2003-01-09
069960,현대백화점,KOSPI,종합 소매업,2002-11-25
069460,대호에이엘,KOSPI,1차 비철금속 제조업,2002-11-11
069620,대웅제약,KOSPI,의약품 제조업,2002-11-01
027740,마니커,KOSPI,도축  육류 가공 및 저장 처리업,2002-10-29
036530,SNT홀딩스,KOSPI,기타 금융업,2002-10-22
069260,티케이지휴켐스,KOSPI,기타 화학제품 제조업,2002-10-07
033530,SJG세종,KOSPI,자동차 신품 부품 제조업,2002-09-25
058430,포스코스틸리온,KOSPI,1차 철강 제조업,2002-08-16
068290,삼성출판사,KOSPI,서적  잡지 및 기타 인쇄물 출판업,2002-08-05
067830,세이브존I&C,KOSPI,종합 소매업,2002-07-25
030610,교보증권,KOSPI,금융 지원 서비스업,2002-07-18
009240,한샘,KOSPI,생활용품 도매업,2002-07-16
017370,우신시스템,KOSPI,특수 목적용 기계 제조업,2002-05-28
066570,LG전자,KOSPI,통신 및 방송 장비 제조업,2002-04-22
024720,콜마홀딩스,KOSPI,기타 금융업,2002-04-09
064960,SNT모티브,KOSPI,자동차 신품 부품 제조업,2002-03-11
037710,광주신세계,KOSPI,종합 소매업,2002-02-07
020760,일진디스플,KOSPI,반도체 제조업,2002-01-09
063160,종근당바이오,KOSPI,의약품 제조업,2001-12-11
